0.33090E-02 0.98843E-06 0.00000E+01 330011 0 0 17456 0.52760E+07 0.00000E+01 0.33090E-02
1 0.0033052 1.4251e-05 0.27271 0.0056475 0.0033052
2 0.0033052 6.8553e-06 0.18551 0.0045266 0.0033052
3 0.0033087 3.4412e-06 0.13156 0.0042104 0.0033087
4 0.0033191 1.4077e-05 0.26824 0.0053914 0.0033191
5 0.0033127 6.6035e-06 0.17829 0.0044679 0.0033127
6 0.0033106 3.44e-06 0.13144 0.0042174 0.0033106
7 0.0033194 1.4152e-05 0.26963 0.0054611 0.0033194
8 0.0033078 6.8398e-06 0.18495 0.0045446 0.0033078
9 0.0033067 3.6146e-06 0.13827 0.0041645 0.0033067
10 0.0033189 1.4571e-05 0.27766 0.0056729 0.0033189
11 0.0033026 6.8564e-06 0.18569 0.004782 0.0033026
12 0.0032993 3.6349e-06 0.13936 0.004229 0.0032993
13 0.0032992 1.0714e-05 0.20539 0.0053511 0.0032992
14 0.0033183 5.2127e-06 0.14051 0.0053251 0.0033183
15 0.0033033 3.4005e-06 0.13022 0.0055216 0.0033033
16 0.0033114 1.4343e-05 0.27394 0.0053661 0.0033114
17 0.0033044 6.884e-06 0.18634 0.0046411 0.0033044
18 0.0033106 3.5451e-06 0.13545 0.0043124 0.0033106
19 0.003302 1.4413e-05 0.27605 0.0054375 0.003302
20 0.0033045 7.0738e-06 0.19147 0.0045883 0.0033045
21 0.0033127 3.6211e-06 0.13827 0.004203 0.0033127
22 0.0033252 1.4048e-05 0.26719 0.0054699 0.0033252
23 0.0033099 6.7813e-06 0.18325 0.0044137 0.0033099
24 0.0033134 3.4743e-06 0.13263 0.0041991 0.0033134
25 0.0033106 1.4463e-05 0.27631 0.0054794 0.0033106
26 0.0033175 6.8989e-06 0.186 0.0045998 0.0033175
27 0.003312 3.4712e-06 0.13257 0.0041788 0.003312
28 0.0033105 1.4223e-05 0.27172 0.0054475 0.0033105
29 0.003314 6.8457e-06 0.18476 0.0044644 0.003314
30 0.0033133 3.5173e-06 0.13428 0.0041498 0.0033133
31 0.0033014 1.4328e-05 0.27448 0.0057382 0.0033014
32 0.0033058 6.6928e-06 0.18108 0.0045831 0.0033058
33 0.0033037 3.5557e-06 0.13614 0.0043211 0.0033037
